bin_id,sentiment,Tstart,Tend,bin_position
3016,0.10000,1584386300009,1584631824154,1
3036,-0.70000,1584631285427,1584631502389,1
3049,0.10000,1584611907606,1584631444920,1
3055,0.10000,1584631285427,1584631402195,1
3059,-0.39167,1584609691832,1584631393314,1
3075,-0.65000,1584447681770,1584631216065,1
3086,-0.05000,1584383548918,1584631058341,1
3089,-0.10000,1584629793213,1584631049479,1
3090,0.10000,1584629793213,1584631049479,2
3117,-0.70000,1584375696902,1584630710211,1
3124,-0.90000,1584630414861,1584630655925,1
3125,-0.70000,1584630414861,1584630655925,2
3135,-0.70000,1584628775045,1584630616871,1
3146,-0.55000,1584630183647,1584630517403,1
3147,0.50000,1584630183647,1584630517403,2
3150,-0.55000,1584484954594,1584630484912,1
3151,0.90000,1584484954594,1584630484912,2
3155,0.96667,1584105251199,1584630473241,1
3156,-0.63333,1584629412034,1584630435431,1
3159,-0.05000,1584629608661,1584630414432,1
3169,-0.30000,1584627718182,1584630271622,1
3174,-0.42000,1584619429783,1584630232066,1
3180,-0.10000,1584112469705,1584630183748,1
3189,-0.81667,1584538493635,1584630091485,1
3196,-0.90000,1584628768232,1584630045309,1
3197,-0.70000,1584628768232,1584630045309,2
3198,-0.70000,1584628768232,1584630045309,3
3204,-0.10000,1584628094086,1584630033957,1
3205,-0.70000,1584628094086,1584630033957,2
3213,0.00000,1584628656016,1584629926465,1
3214,-0.30000,1584628656016,1584629926465,2
3215,-0.53333,1584628656016,1584629926465,3
3216,-0.80000,1584538493635,1584629910075,1
3223,-0.90000,1584538493635,1584629819891,1
3224,0.90000,1584538493635,1584629819891,2
3227,-0.85000,1584443262021,1584629797199,1
3249,-0.66667,1584538493635,1584629678177,1
3250,0.10000,1584538493635,1584629678177,2
3258,-0.70000,1584598311749,1584629619036,1
3259,0.10000,1584598311749,1584629619036,2
3284,-0.60000,1584525115517,1584629394136,1
3333,0.00000,1584626401410,1584629046700,1
3335,0.90000,1584574688068,1584629009324,1
3336,1.00000,1584574688068,1584629009324,2
3339,-0.70000,1584599480994,1584628988682,1
3358,-0.90000,1584626348072,1584628896475,1
3359,-0.80000,1584626348072,1584628896475,2
3361,-0.78000,1584291591945,1584628868246,1
3362,-0.90000,1584291591945,1584628868246,2
3371,-0.50000,1584538493635,1584628776015,1
3372,-0.70000,1584538493635,1584628776015,2
3385,-0.90000,1584525639949,1584628690192,1
3386,-0.60000,1584525639949,1584628690192,2
3391,0.10000,1584538493635,1584628675175,1
3396,-0.90000,1584626262957,1584628660273,1
3397,0.50000,1584626262957,1584628660273,2
3401,-0.90000,1584181749592,1584628649637,1
3402,0.60000,1584181749592,1584628649637,2
3403,-0.10000,1584538493635,1584628624661,1
3404,0.70000,1584538493635,1584628624661,2
